id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
38,raphaelDL_spring-webflux-security-jwt,5,3,222,4,12,2,77,1,101,1,32,0,maven,False,open source,185,d6adb5a043f7ae147e72e2f66dd3fafe05902158,improvement,8,0,0,0,0,0
39,TechnionYP5779_team4,1,1,1,1,0,0,1,1,0,0,0,0,maven,False,open source,82,1b5bcce1e3a8072082c2ddc4db214319a89462ba,no improvement,8,0,0,0,0,0
40,davidmoten_aws-maven-plugin,8,0,38,0,0,0,9,0,29,0,0,0,maven,False,open source,207,f3039bc6785b42048d849b8120fcecfe517742ee,improvement,8,0,0,0,0,0
24,qqxx6661_springboot-websocket-demo,5,5,268,268,16,16,96,96,122,122,34,34,maven,False,open source,1589,033da5675c5eff5952f17d77870859e28ba29b17,no improvement,8,0,0,0,0,0
48,twilio_twilio-oai-generator,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,89,9e06108881481946bb75f4db5628018d3f18fe0e,no improvement,11,0,0,0,0,0
46,arey_java-object-mapper-benchmark,4,4,57,47,2,2,26,20,27,24,2,1,maven,False,open source,151,d2d94b4b91e71b9d37ceab3950c85c87a05f338b,improvement,8,0,0,0,0,0
49,BjoernKW_Schematic,7,2,27,2,9,1,7,0,11,1,0,0,maven,False,open source,138,80efdf8d0e0fc16f97268f57d113d001b892f90e,improvement,17,0,0,0,0,0
47,Sayi_swagger-diff,4,3,150,74,3,2,27,14,71,35,49,23,maven,False,open source,292,e6abc1483ec90859aeba9d9ad4e7fd0368352d47,improvement,8,0,0,0,0,0
12,tomekl007_manning_software_mistakes_and_tradeoffs,14,7,223,65,25,6,108,30,81,25,9,4,maven,False,open source,2486,b7a5094fb873e4b8e5931c938467d3c0b18eb2be,improvement,8,0,0,0,0,0
50,daoqidelv_community-ddd-demo,19,2,179,11,4,1,59,5,73,4,43,1,maven,False,open source,438,3f757a70526d7ba6e65bbfcfe5b989cf3949aeee,improvement,8,0,0,0,0,0
58,kolchagov_java-crud-api,12,5,83,9,11,0,35,4,30,4,7,1,maven,False,open source,278,51df0e40973d389ce471fdae0ffc0632a9a65bed,improvement,8,0,0,0,0,0
64,web-servers_tomcat-vault,2,0,26,0,4,0,12,0,8,0,2,0,maven,False,open source,202,d13b0675615e3e85c8e39828769c66a791b9104d,improvement,8,0,0,0,0,0
67,tomwhite_set-game,5,4,113,110,2,2,49,46,58,58,4,4,maven,False,open source,113,bd047ece2f07e483f39fa41ba1170d9afd9a768c,improvement,8,0,0,0,0,0
70,pkpk1234_learn-reactor,5,3,11,4,1,0,5,2,1,0,4,2,maven,False,open source,207,2758f4a9cdd33f6f129517796c03de167d53f701,improvement,8,0,0,0,0,0
71,bendem_sql-streams,4,0,10,0,1,0,2,0,4,0,3,0,maven,False,open source,142,67980a372bd5456f7eaaa8e2edd9bfeef3c77110,improvement,8,0,0,0,0,0
66,hw172553043_toBeTopJavaArchitect,6,6,83,70,8,7,35,31,35,29,5,3,maven,False,open source,826,0ad12e67f9f9e287897c28d81fd9741751badf5a,improvement,8,0,0,0,0,0
73,PAXSTORE_paxstore-openapi-java-sdk,3,0,5,0,2,0,3,0,0,0,0,0,maven,False,open source,91,e4ef6cb9214fde9918c83ee0d2c7b77b81ce2d88,improvement,8,0,0,0,0,0
59,yangwenjie88_delay-queue,10,9,394,374,14,17,110,102,177,169,93,86,maven,False,open source,1858,75b725c7594b1106452483175b359c62172f44c0,improvement,8,0,0,0,0,0
74,ITArray_automotion-java,14,7,70,53,9,7,34,27,23,18,4,1,maven,False,open source,857,3e1678f4856da4edea5f458d811584af9a81090f,improvement,8,0,0,0,0,0
77,pac4j_dropwizard-pac4j,5,5,11,11,2,2,6,6,3,3,0,0,maven,False,open source,398,dc120c4a059f1d0a35d48daaab1109a644ef6ed8,no improvement,11,0,0,0,0,0
68,interseroh_demo-gwt-springboot,13,13,586,586,22,22,153,153,268,268,143,143,maven,False,open source,2200,a78a397bd29388d5816b559201cca4d2b2c15b1f,no improvement,8,0,0,0,0,0
79,tkutcher_jgrade,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,83,6049a0acfb17d829fb61488f9763913f3d7f65d7,no improvement,8,0,0,0,0,0
80,Cinimex_mq-java-exporter,3,0,20,0,0,0,12,0,6,0,2,0,maven,False,open source,122,6a094ace972770ebbcd180ce8a5c2afb7a6b3b6c,improvement,8,0,0,0,0,0
81,sleroy_spring-cqrs-arch,7,0,19,0,6,0,7,0,6,0,0,0,maven,False,open source,145,d3b6767fc71f8ef9d9e44be00a58a061605e67c7,improvement,17,0,0,0,0,0
82,whiteclarkegroup_liquibase-linter,8,1,33,8,4,2,16,3,12,2,1,1,maven,False,open source,579,cdfe57be8c3d20913e943367ca912743f2b78fed,improvement,8,0,0,0,0,0
78,tonikolaba_BatBat-Game,7,7,154,154,18,18,65,65,60,60,11,11,maven,False,open source,1594,868737de84cb00d5a303e0c9486f148d1ef75c23,no improvement,8,0,0,0,0,0
84,apache_dubbo-proxy,7,5,152,49,10,1,61,22,56,14,25,12,maven,False,open source,741,9faa6a115e97fc19e83887a50073c1df5e57a994,improvement,8,0,0,0,0,0
